date,revision,ticker,name
2018-01-01,2017-12-24,FOXA,Twenty-First Century Fox
2018-01-01,2017-12-24,FOX,Twenty-First Century Fox
2018-01-01,2017-12-24,ULTA,Ulta Beauty
2018-01-01,2017-12-24,VRSK,Verisk Analytics
2018-01-01,2017-12-24,VRTX,Vertex Pharmaceuticals
2018-01-01,2017-12-24,VOD,Vodafone
2018-01-01,2017-12-24,WBA,Walgreens Boots Alliance
2018-01-01,2017-12-24,WDC,Western Digital
2018-01-01,2017-12-24,WDAY,Workday
2018-01-01,2017-12-24,WYNN,Wynn Resorts
2018-01-01,2017-12-24,XLNX,"Xilinx, Inc."
2018-04-01,2018-03-22,ATVI,Activision Blizzard
2018-04-01,2018-03-22,ADBE,Adobe Systems
2018-04-01,2018-03-22,ALXN,Alexion Pharmaceuticals
2018-04-01,2018-03-22,ALGN,Align Technology
2018-04-01,2018-03-22,GOOGL,Alphabet Inc.
2018-04-01,2018-03-22,GOOG,Alphabet Inc.
2018-04-01,2018-03-22,AMZN,Amazon.com
2018-04-01,2018-03-22,AAL,American Airlines Group
2018-04-01,2018-03-22,AMGN,Amgen
2018-04-01,2018-03-22,ADI,Analog Devices
2018-04-01,2018-03-22,AAPL,Apple Inc.
2018-04-01,2018-03-22,AMAT,Applied Materials
2018-04-01,2018-03-22,ASML,ASML Holding
2018-04-01,2018-03-22,ADSK,Autodesk
2018-04-01,2018-03-22,ADP,Automatic Data Processing
2018-04-01,2018-03-22,BIDU,Baidu
2018-04-01,2018-03-22,BIIB,Biogen
2018-04-01,2018-03-22,BMRN,BioMarin Pharmaceutical
2018-04-01,2018-03-22,BKNG,Booking Holdings
2018-04-01,2018-03-22,AVGO,Broadcom Limited
2018-04-01,2018-03-22,CA,CA Technologies
2018-04-01,2018-03-22,CDNS,Cadence Design Systems
2018-04-01,2018-03-22,CELG,Celgene
2018-04-01,2018-03-22,CERN,Cerner
2018-04-01,2018-03-22,CHTR,Charter Communications
2018-04-01,2018-03-22,CHKP,Check Point
2018-04-01,2018-03-22,CTAS,Cintas
2018-04-01,2018-03-22,CSCO,Cisco Systems
2018-04-01,2018-03-22,CTXS,Citrix Systems
2018-04-01,2018-03-22,CTSH,Cognizant Technology Solutions
2018-04-01,2018-03-22,CMCSA,Comcast
2018-04-01,2018-03-22,COST,Costco
2018-04-01,2018-03-22,CSX,CSX Corporation
2018-04-01,2018-03-22,CTRP,Ctrip
2018-04-01,2018-03-22,XRAY,Dentsply Sirona
2018-04-01,2018-03-22,DISH,Dish Network
2018-04-01,2018-03-22,DLTR,Dollar Tree
2018-04-01,2018-03-22,EBAY,eBay
2018-04-01,2018-03-22,EA,Electronic Arts
2018-04-01,2018-03-22,EXPE,"Expedia, Inc."
2018-04-01,2018-03-22,ESRX,Express Scripts
2018-04-01,2018-03-22,FB,"Facebook, Inc."
2018-04-01,2018-03-22,FAST,Fastenal
2018-04-01,2018-03-22,FISV,Fiserv
2018-04-01,2018-03-22,GILD,Gilead Sciences
2018-04-01,2018-03-22,HAS,Hasbro
2018-04-01,2018-03-22,HSIC,Henry Schein
2018-04-01,2018-03-22,HOLX,Hologic
2018-04-01,2018-03-22,IDXX,Idexx Laboratories
2018-04-01,2018-03-22,ILMN,Illumina (company)
2018-04-01,2018-03-22,INCY,Incyte
2018-04-01,2018-03-22,INTC,Intel Corporation
2018-04-01,2018-03-22,INTU,Intuit
2018-04-01,2018-03-22,ISRG,Intuitive Surgical
2018-04-01,2018-03-22,JBHT,J. B. Hunt
2018-04-01,2018-03-22,JD,JD.com
2018-04-01,2018-03-22,KLAC,KLA-Tencor
2018-04-01,2018-03-22,LRCX,Lam Research
2018-04-01,2018-03-22,LBTYA,Liberty Global
2018-04-01,2018-03-22,LBTYK,Liberty Global
